https://aprs.fi/?c=raw&call=N8EPK-11&limit=300&view=normal
=====================
2023-06-10 10:21:04 EDT: N8EPK-11>APLIGA,WIDE1-1,WIDE2-1,qAO,N8EPK-10:>Bartold-3: Hello world!!!
2023-06-10 13:01:06 EDT: N8EPK-11>APLIGA,WIDE2-1,qAR,W8QT-1:/170101h4203.17N/08207.09WO140/010/A=005536 066TxC  14.60C  827.10hPa  5.33V 10S https://bartold.sienkowski.com/
2023-06-10 13:01:36 EDT: N8EPK-11>APLIGA,K8YSE-1*,WIDE2*,qAR,NV8P-1:/165520h4203.71N/08207.83WO114/005/A=006610 064TxC  12.70C  794.81hPa  4.95V 08S https://bartold.sienkowski.com/ [Delayed or out-of-order packet (timestamp)]
2023-06-10 13:02:21 EDT: N8EPK-11>APLIGA,WIDE2-1,qAR,VA3APW-3:/170215h4202.99N/08206.90WO129/012/A=005300 067TxC  15.40C  833.83hPa  5.18V 08S https://bartold.sienkowski.com/
2023-06-10 13:03:35 EDT: N8EPK-11>APLIGA,WIDE2-1,qAR,N8HKU-5:/170329h4202.79N/08206.67WO137/011/A=005116 068TxC  15.60C  840.34hPa  5.11V 08S https://bartold.sienkowski.com/
2023-06-10 13:04:50 EDT: N8EPK-11>APLIGA,WIDE2-1,qAR,N8HKU-5:/170445h4202.58N/08206.55WO135/014/A=004874 069TxC  16.70C  849.59hPa  5.08V 09S https://bartold.sienkowski.com/
2023-06-10 13:06:05 EDT: N8EPK-11>APLIGA,WIDE2-1,qAR,N8HKU-5:/170600h4202.40N/08206.27WO131/012/A=004874 070TxC  17.20C  859.12hPa  5.07V 05S https://bartold.sienkowski.com/
2023-06-10 13:07:19 EDT: N8EPK-11>APLIGA,WIDE2-1,qAR,VE3SPR:/170714h4202.26N/08206.00WO125/009/A=004175 071TxC  17.40C  869.15hPa  5.02V 08S https://bartold.sienkowski.com/
2023-06-10 13:08:35 EDT: N8EPK-11>APLIGA,WIDE2-1,qAR,W8QT-1:/170830h4202.14N/08205.90WO121/008/A=003811 072TxC  18.70C  880.06hPa  5.02V 08S https://bartold.sienkowski.com/
2023-06-10 13:11:05 EDT: N8EPK-11>APLIGA,WIDE2-1,qAR,W8QT-1:/171100h4202.00N/08205.45WO090/006/A=003273 074TxC  19.40C  897.77hPa  5.00V 08S https://bartold.sienkowski.com/
2023-06-10 13:12:33 EDT: N8EPK-11>APLIGA,WIDE1-1,WIDE2-1,qAR,W8QT-1:/171228h4201.96N/08205.21WO100/007/A=002956 075TxC  19.90C  907.02hPa  5.33V 12S https://bartold.sienkowski.com/
2023-06-10 13:12:54 EDT: N8EPK-11>APLIGA,K8UI-5*,WIDE2,qAR,NV8P-1:/170830h4202.14N/08205.90WO121/008/A=003811 072TxC  18.70C  880.06hPa  5.02V 08S https://bartold.sienkowski.com/ [Delayed or out-of-order packet (timestamp)]
2023-06-10 13:13:49 EDT: N8EPK-11>APLIGA,WIDE1-1,WIDE2-1,qAR,W8QT-1:/171344h4201.93N/08204.99WO087/009/A=002721 076TxC  20.70C  915.79hPa  5.20V 08S https://bartold.sienkowski.com/
2023-06-10 13:15:22 EDT: N8EPK-11>APLIGA,WIDE1-1,WIDE2-1,qAR,W8QT-1:/171517h4201.84N/08204.78WO089/007/A=001067 077TxC  22.00C  925.14hPa  5.13V 12S https://bartold.sienkowski.com/
2023-06-10 13:16:36 EDT: N8EPK-11>APLIGA,WIDE1-1,WIDE2-1,qAR,VA3APW-3:/171632h4201.90N/08204.49WO072/007/A=002565 078TxC  21.40C  931.46hPa  5.20V 07S https://bartold.sienkowski.com/
2023-06-10 13:17:52 EDT: N8EPK-11>APLIGA,W8QT-1*,K8YSE-1*,WIDE2*,qAR,NV8P-1:/171228h4201.96N/08205.21WO100/007/A=002956 075TxC  19.90C  907.02hPa  5.33V 12S https://bartold.sienkowski.com/ [Delayed or out-of-order packet (timestamp)]
2023-06-10 13:18:04 EDT: N8EPK-11>APLIGA,W8QT-1*,K8YSE-1*,WIDE2*,qAR,NV8P-1:/171344h4201.93N/08204.99WO087/009/A=002721 076TxC  20.70C  915.79hPa  5.20V 08S https://bartold.sienkowski.com/ [Delayed or out-of-order packet (timestamp)]
2023-06-10 13:20:07 EDT: N8EPK-11>APLIGA,W8QT-1*,K8YSE-1*,WIDE2*,qAR,NV8P-1:/171517h4201.84N/08204.78WO089/007/A=001067 077TxC  22.00C  925.14hPa  5.13V 12S https://bartold.sienkowski.com/ [Delayed or out-of-order packet (timestamp)]
2023-06-10 13:20:48 EDT: N8EPK-11>APLIGA,K8YSE-1*,WIDE1*,WIDE2-1,qAR,NV8P-1:/171632h4201.90N/08204.49WO072/007/A=002565 078TxC  21.40C  931.46hPa  5.20V 07S https://bartold.sienkowski.com/
2023-06-10 13:21:36 EDT: N8EPK-11>APLIGA,WIDE1-1,WIDE2-1,qAR,W8QT-1:/172131h4202.33N/08203.57WO054/009/A=001290 082TxC  23.50C  968.35hPa  5.25V 07S https://bartold.sienkowski.com/
2023-06-10 13:22:51 EDT: N8EPK-11>APLIGA,WIDE1-1,WIDE2-1,qAR,W8QT-1:/172246h4202.45N/08203.33WO057/011/A=000917 083TxC  23.30C  976.71hPa  5.13V 10S https://bartold.sienkowski.com/
2023-06-10 13:26:17 EDT: N8EPK-11>APLIGA,W8QT-1*,K8YSE-1*,WIDE2*,qAR,NV8P-1:/172131h4202.33N/08203.57WO054/009/A=001290 082TxC  23.50C  968.35hPa  5.25V 07S https://bartold.sienkowski.com/ [Delayed or out-of-order packet (timestamp)]
